ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
50,1,timeout,15.0,0.11546275019645691,0.21537964046001434,0.07923842966556549,0.02651122584939003,0.026719283043346,0.12610754370689392,139.5,123.45880889892578
51,1,timeout,15.0,0.12853308022022247,0.21408645808696747,0.01041092723608017,0.024798884987831116,0.029606721532445302,0.12477658689022064,134.25,165.9115447998047
52,1,timeout,15.0,0.12593169510364532,0.21296286582946777,0.01915326528251171,0.025350643321871758,0.018270249119972774,0.12107005715370178,135.75,171.44509887695312
53,1,timeout,15.0,0.1363113671541214,0.22015003859996796,0.016243668273091316,0.028555305674672127,0.018614038006336237,0.11902642995119095,134.25,171.6319122314453
54,1,timeout,15.0,0.11164939403533936,0.1775260865688324,0.014200647361576557,0.02388017810881138,0.021233055786245614,0.12138232588768005,139.0,190.2333221435547
55,1,timeout,15.0,0.11124618351459503,0.1762484312057495,0.040714576840400696,0.026436427608132362,0.023694927339595256,0.12267187237739563,139.5,180.1649932861328
56,1,timeout,15.0,0.10743515193462372,0.19615378975868225,0.02459409087896347,0.026416100561618805,0.01706604710931183,0.12039797008037567,132.0,166.48439025878906
57,1,timeout,15.0,0.11053388565778732,0.19657312333583832,0.016616536304354668,0.021366767585277557,0.012620745070168445,0.12720678746700287,141.0,187.1536865234375
58,1,timeout,15.0,0.11887915432453156,0.20361343026161194,0.004507570993155241,0.02772112749516964,0.019070484573294102,0.12176253646612167,136.5,182.6248321533203
59,1,timeout,15.0,0.11696530133485794,0.16246074438095093,0.03846294805407524,0.024472473189234734,0.01937442783715163,0.11994168907403946,138.5,183.27386474609375
60,1,timeout,15.0,0.10165420174598694,0.19098328053951263,0.07616624236106873,0.026904849335551262,0.015878605147644272,0.12477286159992218,135.5,170.2312774658203
61,1,timeout,15.0,0.0949501320719719,0.17944921553134918,0.023869650438427925,0.022182293236255646,0.01910706165643565,0.12471308559179306,134.25,195.79669189453125
62,1,timeout,15.0,0.11932207643985748,0.16874848306179047,0.0020613246597349644,0.02598925493657589,0.01772209689369142,0.11627726256847382,137.0,208.86045837402344
63,1,timeout,15.0,0.13460412621498108,0.188337504863739,0.02969999983906746,0.021334020420908928,0.015772038334407743,0.12417357414960861,138.75,192.97174072265625
64,1,timeout,15.0,0.11563927680253983,0.1974465399980545,0.024299927055835724,0.021972738206386566,0.0179706722873444,0.1192723959684372,137.75,190.67471313476562
65,1,timeout,15.0,0.11113210022449493,0.21594120562076569,0.025927415117621422,0.022428222000598907,0.01756400675981418,0.11936356127262115,137.0,160.91903686523438
66,1,timeout,15.0,0.11771705001592636,0.1419558823108673,0.013429492712020874,0.021612536162137985,0.016587735846889936,0.12224096804857254,139.25,229.4109344482422
67,1,timeout,15.0,0.1080203503370285,0.1688094139099121,0.01240246556699276,0.025748074054718018,0.021205743299150606,0.1307496577501297,136.0,181.525146484375
68,1,timeout,15.0,0.11909335851669312,0.21712245047092438,0.014740102924406528,0.023043779656291008,0.016126675132604486,0.11744479089975357,136.5,160.64329528808594
69,1,timeout,15.0,0.11978483200073242,0.218820258975029,0.007844025269150734,0.02600799687206745,0.017768640448501297,0.12124151736497879,137.75,171.39036560058594
70,1,timeout,15.0,0.11389069259166718,0.14754700660705566,0.005473518744111061,0.021069251000881195,0.015285857155911345,0.12487909942865372,140.0,236.13294982910156
