env_id,success,done_reason_code,done_reason,duration_sec,survival_ratio,v_cmd_mean,v_fwd_mean,v_fwd_rmse,yaw_drift_abs_final,yaw_rate_abs_mean,roll_rms,pitch_rms,tilt_rms,vertical_bounce_rms,base_z_min,contact_continuity_score,diag_support_asym_score,swing_scuff_count,residual_rms,residual_rate_rms,joint_vel_rms,return_total,completed_episode_index,completed_wall_time_s
12,1,1,timeout,10.0,1.0,0.05077623203396797,0.13904964923858643,0.19035731256008148,0.006849760189652443,0.02597866766154766,0.01350264810025692,0.008530087769031525,0.0159713463135314,0.14181214570999146,0.8663485646247864,0.46666666865348816,0.778333306312561,88.5,0.4914364516735077,0.3544290065765381,0.46013975143432617,171.7916717529297,44,1776652583.0164366
13,1,1,timeout,10.0,1.0,0.10559654980897903,0.13450422883033752,0.17378248274326324,0.03737149015069008,0.022562893107533455,0.016331542283296585,0.017301613464951515,0.023792122684655435,0.13971152901649475,0.8694482445716858,0.4466666579246521,0.753333330154419,87.25,0.4797036647796631,0.3507078289985657,0.44039273262023926,190.0313720703125,45,1776652583.0164366
14,1,1,timeout,10.0,1.0,0.13402815163135529,0.12259171903133392,0.1888342946767807,0.005356727167963982,0.02890433929860592,0.017628395929932594,0.014283841475844383,0.02268895040255314,0.13693810999393463,0.8689271211624146,0.4466666579246521,0.7200000286102295,86.75,0.48057281970977783,0.3543730676174164,0.45135363936424255,198.52919006347656,46,1776652583.0164366
15,1,1,timeout,10.0,1.0,0.1428760290145874,0.1211286261677742,0.171905517578125,0.012988107278943062,0.03078256919980049,0.016028402373194695,0.013948031701147556,0.021247523878637025,0.13832609355449677,0.8682755827903748,0.4166666567325592,0.7450000047683716,88.25,0.47693875432014465,0.35348135232925415,0.45386266708374023,193.0310821533203,47,1776652583.0164366
16,1,1,timeout,10.0,1.0,0.22022323310375214,0.1283806413412094,0.1857328563928604,0.037887804210186005,0.024039944633841515,0.014079599641263485,0.009112120606005192,0.01677098291683142,0.13988101482391357,0.8667846918106079,0.46833333373069763,0.7649999856948853,90.25,0.4969536364078522,0.3532784879207611,0.4511171579360962,180.71783447265625,48,1776652583.0164366
17,1,1,timeout,10.0,1.0,0.1699371635913849,0.12014219909906387,0.16305504739284515,0.018334360793232918,0.023100310936570168,0.01758507639169693,0.01720220223069191,0.024599810431941104,0.14209683239459991,0.866319477558136,0.4749999940395355,0.7516666650772095,91.25,0.47266700863838196,0.3556218445301056,0.44725915789604187,201.44471740722656,49,1776652583.0164366
18,1,1,timeout,10.0,1.0,0.24059359729290009,0.12595921754837036,0.21184682846069336,0.02510601468384266,0.029726892709732056,0.016554106026887894,0.013350578024983406,0.021266790071626133,0.13802194595336914,0.8601542115211487,0.4533333480358124,0.7383333444595337,87.25,0.48865973949432373,0.35521289706230164,0.44135764241218567,164.05093383789062,50,1776652583.0164366
19,1,1,timeout,10.0,1.0,0.0879092589020729,0.1472429484128952,0.18004931509494781,0.017799148336052895,0.024381961673498154,0.017916059121489525,0.012938953004777431,0.022099811748169867,0.14900708198547363,0.8645382523536682,0.4533333480358124,0.7916666865348816,89.25,0.49553143978118896,0.35324761271476746,0.45799025893211365,180.49620056152344,51,1776652583.0164366
20,1,1,timeout,10.0,1.0,0.16952919960021973,0.14868518710136414,0.18734365701675415,0.018964063376188278,0.023585470393300056,0.015885017812252045,0.01623603142797947,0.02271436786322485,0.13670611381530762,0.8714299201965332,0.47833332419395447,0.7549999952316284,89.5,0.49212732911109924,0.3496961295604706,0.4642523527145386,188.51390075683594,52,1776652583.0164366
21,1,1,timeout,10.0,1.0,0.1285095065832138,0.14943595230579376,0.17766059935092926,0.008452262729406357,0.021361159160733223,0.014839873649179935,0.012514032423496246,0.019411925649454265,0.13607357442378998,0.864248514175415,0.46000000834465027,0.7566666603088379,88.0,0.4890010356903076,0.34823164343833923,0.46528851985931396,187.03968811035156,53,1776652583.0164366
