wall_time_s,elapsed_min,completed_total,window_episode_count,checkpoint_count,latest_checkpoint,train_episode_count,train_success_rate,train_survival_ratio_mean,train_v_fwd_mean_mean,train_v_fwd_rmse_mean,train_yaw_drift_abs_final_mean,train_yaw_rate_abs_mean_mean,train_roll_rms_mean,train_pitch_rms_mean,train_tilt_rms_mean,train_vertical_bounce_rms_mean,train_contact_continuity_score_mean,train_diag_support_asym_score_mean,train_swing_scuff_count_mean,train_residual_rms_mean,train_residual_rate_rms_mean,train_joint_vel_rms_mean,train_return_total_mean
1776658980.7347553,4.002944060166677,176,128,1,model_0.pt,128,1.0,1.0,0.14646869216812775,0.16489512094995007,0.03225731342195104,0.021758461094577797,0.012584077230712865,0.01025626947011915,0.01629865578951153,0.12061888439347968,0.46815972216427326,0.7681163181550801,137.3828125,0.4498048322275281,0.30255149910226464,0.43712373194284737,209.8218868970871
1776659000.7521987,4.336568117141724,192,128,1,model_0.pt,128,1.0,1.0,0.14826410682871938,0.15991855022730306,0.029405941791310397,0.021385640677181073,0.012069109834556002,0.009807927704969188,0.015605538885013516,0.120216385636013,0.4706770838238299,0.7695312495343387,137.62109375,0.459306861506775,0.3023153506219387,0.43284623441286385,216.16004192829132
1776659020.774575,4.670274388790131,208,128,1,model_0.pt,128,1.0,1.0,0.14938044676091522,0.1566510580596514,0.0294468471156506,0.02101446750748437,0.011675489608023781,0.009527035304927267,0.01511898192361899,0.11987020680680871,0.4704600698314607,0.7701822905801237,137.71484375,0.4693625329528004,0.30198967293836176,0.428847634466365,219.78185617923737
1776659040.8016827,5.004059517383576,224,128,1,model_0.pt,128,1.0,1.0,0.15122984163463116,0.15318686055252329,0.03085929155258782,0.020688012809841894,0.011350756612955593,0.00920802977270796,0.014659154649540103,0.11945105285849422,0.4723524311557412,0.7722656237892807,137.935546875,0.48030572081916034,0.3016444453969598,0.4254579509142786,223.29594004154205
1776659060.8197029,5.337693186601003,240,128,1,model_0.pt,128,1.0,1.0,0.15437142143491656,0.14913985854946077,0.03165583478494227,0.020312042921432294,0.011221501961699687,0.008912264569516992,0.01438107536857062,0.11901960242539644,0.47500868141651154,0.7729427074082196,138.169921875,0.49091919558122754,0.3012060020118952,0.4231222220696509,227.05549705028534
1776659080.8496873,5.671526261170706,256,128,1,model_0.pt,128,1.0,1.0,0.15653741464484483,0.14587047416716814,0.03114851863324475,0.019949273962993175,0.011134109132399317,0.00856161343108397,0.014109336071808493,0.11832132650306448,0.47700520954094827,0.7743663182482123,138.3359375,0.5012842968571931,0.3007471514865756,0.42112208832986653,231.06674647331238
1776659100.8928018,6.005578168233236,272,128,1,model_0.pt,128,1.0,1.0,0.1565122798201628,0.13983541494235396,0.031881858192036816,0.019670061868964694,0.011040418488846626,0.008284613282739883,0.013869413709935722,0.11776851210743189,0.4790190984494984,0.7763628456741571,138.43359375,0.5126933283172548,0.3002025387249887,0.4189252108335495,236.28154146671295
1776659120.9047017,6.339109834035238,288,128,1,model_0.pt,128,1.0,1.0,0.15423561370698735,0.1387013834901154,0.03185011508071511,0.019331968935148325,0.011102349701104686,0.008108333189738914,0.013817157852034507,0.11730820150114596,0.4814409737009555,0.7776736104860902,138.509765625,0.525043647736311,0.29958413378335536,0.4151250906288624,236.7458930015564
1776659140.96039,6.673371307055155,288,128,1,model_0.pt,128,1.0,1.0,0.15423561370698735,0.1387013834901154,0.03185011508071511,0.019331968935148325,0.011102349701104686,0.008108333189738914,0.013817157852034507,0.11730820150114596,0.4814409737009555,0.7776736104860902,138.509765625,0.525043647736311,0.29958413378335536,0.4151250906288624,236.7458930015564
1776659160.972822,7.006911838054657,320,128,1,model_0.pt,128,1.0,1.0,0.15085682325297967,0.13087362016085535,0.031101443346869928,0.018759288861474488,0.011462758528068662,0.007961718823935371,0.014020953016604831,0.11675388505682349,0.4855295142624527,0.7810329841449857,139.251953125,0.5485210991464555,0.29803819488734007,0.409031112678349,245.16810202598572
