ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
1970,1,timeout,15.0,0.19504809379577637,0.06307359784841537,0.0005287341773509979,0.007908827625215054,0.007624949671817308,0.10316017270088196,150.5,356.7106018066406
1971,1,timeout,15.0,0.1331164538860321,0.05284015089273453,0.008650421164929867,0.007892423309385777,0.006872836894021453,0.10821454972028732,146.0,370.3515930175781
1972,1,timeout,15.0,0.16092868149280548,0.0627879947423935,0.018622852861881256,0.008239047601819038,0.007504626701518742,0.10273013263940811,148.75,360.9519958496094
1973,1,timeout,15.0,0.11261780560016632,0.05838729813694954,0.023820661008358,0.010010829195380211,0.006646663817743759,0.10746227949857712,150.25,356.90362548828125
1974,1,timeout,15.0,0.16435009241104126,0.06444337964057922,0.01307772472500801,0.008528399281203747,0.0072664992358650584,0.10208571702241898,151.25,360.42724609375
1975,1,timeout,15.0,0.2364799529314041,0.07626421004533768,0.016758719459176064,0.008016176521778107,0.010117359572167781,0.10327012091875076,148.25,341.79364013671875
1976,1,timeout,15.0,0.16791504621505737,0.06792137026786804,0.01550228800624609,0.007270492613315582,0.006662903926300071,0.10661714524030685,149.0,351.0387878417969
1977,1,timeout,15.0,0.16571524739265442,0.06571665406227112,0.007591619621962309,0.007306923158466816,0.007408546653445158,0.11583665013313293,150.0,357.5390319824219
1978,1,timeout,15.0,0.13030339777469635,0.054636936634778976,0.004397690296173096,0.007443429436534643,0.005772872174394928,0.10285039991140366,147.25,371.50537109375
1979,1,timeout,15.0,0.1473519504070282,0.05744694918394089,0.002553991973400116,0.006663084030151367,0.0058777043937802195,0.10097802430391312,150.75,372.4747314453125
1980,1,timeout,15.0,0.09887201339006424,0.06611879914999008,0.026301223784685135,0.009547953493893147,0.007550535714965358,0.10714180767536163,147.0,342.0303649902344
1981,1,timeout,15.0,0.23996424674987793,0.08925604075193405,0.008007839322090149,0.008042330853641033,0.01011285902591666,0.10582278668880463,149.0,322.29437255859375
1982,1,timeout,15.0,0.22375832498073578,0.07574023306369781,0.004969026893377304,0.00794648751616478,0.008504279322100666,0.1084846705198288,145.25,350.6107177734375
1983,1,timeout,15.0,0.22473174333572388,0.07440255582332611,0.006967894732952118,0.00711503392085433,0.008713560775477362,0.1066388189792633,150.0,349.92657470703125
1984,1,timeout,15.0,0.11367718130350113,0.05644908547401428,0.0049514067359268665,0.008173905313014984,0.005744483078261297,0.10396107286214828,147.25,367.8398132324219
1985,1,timeout,15.0,0.09345881640911102,0.06712871789932251,0.015347111970186234,0.01103314571082592,0.006846570673651493,0.10541538894176483,142.5,348.45941162109375
1986,1,timeout,15.0,0.0964670404791832,0.06095169857144356,0.0101243294775486,0.011988505721092224,0.00756056169757557,0.1071576252579689,143.5,352.3133544921875
